id,section,template_name,target_role,target_industry,template_text,placeholders,tips,created_at
,headline,Healthcare,Medical Professional,healthcare,{{civilian_title}} | {{certification}} | {{years}}+ Years Clinical Experience | {{specialty}},"{""optional"":[""specialty""],""required"":[""civilian_title"",""years"",""certification""]}",Lead with civilian medical title and certifications. Patient volume is a strong metric.,
,headline,PM Defense,Project Manager,defense,{{civilian_title}} | {{certification}} | {{clearance}} | {{years}}+ Years {{specialty}},"{""optional"":[""certification"",""clearance"",""specialty""],""required"":[""civilian_title"",""years""]}","Keep under 120 characters. Lead with your target role, not military rank. Include clearance if relevant.",
,headline,Federal Career,Federal Employee,federal,{{civilian_title}} | {{clearance}} | {{degree}} | Veterans Preference Eligible,"{""optional"":[""clearance"",""degree""],""required"":[""civilian_title""]}",Include Veterans Preference status. Federal hiring managers look for this.,
,about,Veteran Transition General,,general,"{{years}}+-year {{branch}} veteran transitioning to {{target_industry}}. I bring {{key_skill_1}}, {{key_skill_2}}, and {{key_skill_3}} honed through {{experience_summary}}.\n\nKey accomplishments:\n• {{achievement_1}}\n• {{achievement_2}}\n• {{achievement_3}}\n\nCertifications: {{certifications}}\nClearance: {{clearance}}\nSeeking: {{target_role}} roles in {{target_location}}","{""optional"":[""experience_summary"",""achievement_1"",""achievement_2"",""achievement_3"",""certifications"",""clearance"",""target_role"",""target_location""],""required"":[""years"",""branch"",""target_industry"",""key_skill_1"",""key_skill_2"",""key_skill_3""]}","Keep under 2600 characters. First 3 lines show in preview, make them count. Use civilian language throughout. Include keywords for your target role.",
,skills,Top Skills by Industry,,general,{{skill_list}},"{""note"":""Use dict_mos_to_civilian key_skills and supplement with industry keywords""}",LinkedIn allows 50 skills. Lead with your top 5 most relevant to target role. Get endorsements for these 5 first. Remove military-only skills that dont translate.,
,headline,Cybersecurity,Cybersecurity Analyst,cybersecurity,{{civilian_title}} | {{top_cert}} | {{clearance}} | Protecting Critical Infrastructure,"{""optional"":[""clearance""],""required"":[""civilian_title"",""top_cert""]}","Highlight your top certification (CISSP, CEH, etc.). Clearance is a major differentiator.",
,about,Technical Veteran,,technology,"Technology professional with {{years}}+ years of experience managing and securing enterprise systems in mission-critical environments. {{branch}} veteran bringing {{key_skill_1}} and {{key_skill_2}} expertise to the {{target_industry}} sector.\n\nI have led teams of up to {{team_size}} across {{scope}}, delivering {{quantified_result}}.\n\nCore Competencies: {{skills_list}}\nCertifications: {{certifications}}\n\nOpen to: {{target_role}} opportunities in {{target_location}}","{""optional"":[""target_industry"",""team_size"",""scope"",""quantified_result"",""skills_list"",""certifications"",""target_role"",""target_location""],""required"":[""years"",""branch"",""key_skill_1"",""key_skill_2""]}","Lead with civilian identity, not military. Technical recruiters search for specific skills and certs.",
,experience,Military Experience Block,,general,"{{civilian_equivalent_title}} | {{branch}}, {{command}}\n{{start_date}} - {{end_date}} | {{location}}\n\n{{summary}}\n\n• {{bullet_1}}\n• {{bullet_2}}\n• {{bullet_3}}\n• {{bullet_4}}","{""optional"":[""command"",""location"",""summary"",""bullet_1"",""bullet_2"",""bullet_3"",""bullet_4""],""required"":[""civilian_equivalent_title"",""branch"",""start_date"",""end_date""]}","Use civilian title first, military context second. Each bullet should have a metric. Company = Branch of Service. Title = Civilian equivalent role. Do NOT use rank as your title.",
,headline,IT Professional,IT Manager,technology,{{civilian_title}} | {{top_cert}} | {{years}}+ Years Enterprise IT | {{specialty}},"{""optional"":[""top_cert"",""specialty""],""required"":[""civilian_title"",""years""]}",Use civilian titles recruiters search for. Avoid military jargon entirely.,
,headline,Operations Manager,Operations Manager,general,{{civilian_title}} | {{degree}} | {{years}}+ Years Leading High-Performance Teams,"{""optional"":[""degree""],""required"":[""civilian_title"",""years""]}",Emphasize leadership scope and results. Operations is a universal transferable skill.,
